"custom_id","twitter_handle","bigram","custom_id-2","twitter_handle-2","fullname","newssource","newssource_party","newsspource_lean"
2018,"ian_urbina","(forward,seeing)",2018,"ian_urbina","Ian Urbina","nytimes","D","d_solid"
2019,"puiwingtam","(6,million)",2019,"puiwingtam","Pui-Wing Tam","nytimes","D","d_solid"
2019,"puiwingtam","(office,hours)",2019,"puiwingtam","Pui-Wing Tam","nytimes","D","d_solid"
2019,"puiwingtam","(millions,americans)",2019,"puiwingtam","Pui-Wing Tam","nytimes","D","d_solid"
2019,"puiwingtam","(sexual,assault)",2019,"puiwingtam","Pui-Wing Tam","nytimes","D","d_solid"
2019,"puiwingtam","(looking,forward)",2019,"puiwingtam","Pui-Wing Tam","nytimes","D","d_solid"
2019,"puiwingtam","(move,forward)",2019,"puiwingtam","Pui-Wing Tam","nytimes","D","d_solid"
2020,"YLindaQiu","(president,trump)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(low,income)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(mueller,report)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(special,counsel)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(mueller,report)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(tax,returns)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(white,house)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(affordable,housing)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(president,trump)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(border,patrol)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(donald,trump)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(passed,house)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(trump,admin)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(border,wall)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(president,trump)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(mueller,investigation)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(president,trump)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(pre,existing)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(existing,conditions)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(president,trump)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
2020,"YLindaQiu","(climate,change)",2020,"YLindaQiu","Linda Qiu","nytimes","D","d_solid"
