Senator,State,Twitter,Facebook
"Himes, Jim",Connecticut 4th District,@jahimes,https://www.facebook.com/CongressmanJimHimes
"Hayes, Jahana",Connecticut 5th District,@RepJahanaHayes,https://www.facebook.com/RepJahanaHayes
"Blunt Rochester, Lisa",Delaware At-Large,@LisaBRochester,https://www.facebook.com/LisaBluntRochester
"Norton, Eleanor Holmes",District of Columbia At-Large,@EleanorNorton,https://www.facebook.com/CongresswomanNorton?sid=86d3965b+ff3b64843d69f30c5e40e361&ref=s
"Demings, Val",Florida 10th District,@Val_Demings,https://www.facebook.com/Val.Demings
"Webster, Daniel",Florida 11th District,@RepWebster,https://www.facebook.com/RepWebster
"Bilirakis, Gus M.",Florida 12th District,@RepGusBilirakis,https://www.facebook.com/GusBilirakis
"Crist, Charlie",Florida 13th District,@CharlieCrist,https://www.facebook.com/CharlieCrist
"Castor, Kathy",Florida 14th District,@USRepKCastor,https://www.facebook.com/USRepKathyCastor
"Spano, Ross",Florida 15th District,@RepRossSpano,https://www.facebook.com/RepRossSpano
"Buchanan, Vern",Florida 16th District,@VernBuchanan,https://www.facebook.com/CongressmanBuchanan
"Steube, W. Gregory",Florida 17th District,@RepGregSteube,https://www.facebook.com/RepGregSteube/
"Mast, Brian",Florida 18th District,@BrianMastFL,https://www.facebook.com/BrianMastFL
"Rooney, Francis",Florida 19th District,@FrancisRooney,https://www.facebook.com/Francis-Rooney-1630804517180066/
"Gaetz, Matt",Florida 1st District,@MattGaetz,https://www.facebook.com/RepresentativeMattGaetz
"Hastings, Alcee L.",Florida 20th District,@RepHastingsFL,https://www.facebook.com/Congressman-Alcee-L-Hastings-95696782238
"Frankel, Lois",Florida 21st District,@RepLoisFrankel,https://www.facebook.com/RepLoisFrankel
"Deutch, Ted",Florida 22nd District,@RepTedDeutch,https://www.facebook.com/CongressmanTedDeutch
"Wasserman Schultz, Debbie",Florida 23rd District,@RepDWStweets,https://www.facebook.com/RepDWS
"Wilson, Frederica",Florida 24th District,@RepWilson,https://www.facebook.com/RepWilson
"Diaz-Balart, Mario",Florida 25th District,@MarioDB,https://www.facebook.com/mdiazbalart
"Mucarsel-Powell, Debbie",Florida 26th District,@RepDMP,https://www.facebook.com/RepDMP
"Shalala, Donna E.",Florida 27th District,@RepShalala,https://www.facebook.com/RepShalala/
"Dunn, Neal",Florida 2nd District,@DrNealDunn,https://www.facebook.com/NealDunnForCongress
"Yoho, Ted",Florida 3rd District,@RepTedYoho,https://www.facebook.com/CongressmanTedYoho
"Rutherford, John",Florida 4th District,@JRutherfordFL,https://www.facebook.com/JohnRutherfordFL
"Lawson, Al",Florida 5th District,@AlLawsonJr,https://www.facebook.com/AlLawsonJr
"Waltz, Michael",Florida 6th District,@RepMichaelWaltz,https://www.facebook.com/repmichaelwaltz/
"Murphy, Stephanie",Florida 7th District,@SMurphyCongress,https://www.facebook.com/SMurphyCongress
"Posey, Bill",Florida 8th District,@congbillposey,https://www.facebook.com/bill.posey15
"Soto, Darren",Florida 9th District,@USRepDarrenSoto,https://www.facebook.com/DarrenSotoFlorida
"Hice, Jody",Georgia 10th District,@CongressmanHice,https://www.facebook.com/CongressmanJodyHice
"Loudermilk, Barry",Georgia 11th District,@RepLoudermilk,https://www.facebook.com/RepLoudermilk
"Allen, Rick",Georgia 12th District,@RepRickAllen,https://www.facebook.com/CongressmanRickAllen
"Scott, David",Georgia 13th District,@repdavidscott,https://www.facebook.com/RepDavidScott
"Graves, Tom",Georgia 14th District,@RepTomGraves,https://www.facebook.com/reptomgraves?ref=ts
"Carter, Buddy",Georgia 1st District,@RepBuddyCarter,https://www.facebook.com/CongressmanBuddyCarter
"Bishop Jr., Sanford D.",Georgia 2nd District,@SanfordBishop,https://www.facebook.com/sanfordbishop
"Ferguson, Drew",Georgia 3rd District,@DrewFergusonGA,https://www.facebook.com/DrewFergusonforCongress
"Johnson, Henry C. “Hank” Jr.",Georgia 4th District,@RepHankJohnson,https://www.facebook.com/Congressman-Hank-Johnson-115356957005
"Lewis, John",Georgia 5th District,@repjohnlewis,https://www.facebook.com/RepJohnLewis
"McBath, Lucy",Georgia 6th District,@RepLucyMcBath,https://www.facebook.com/replucymcbath
"Woodall, Robert",Georgia 7th District,@RepRobWoodall,https://www.facebook.com/RepRobWoodall
"Scott, Austin",Georgia 8th District,@AustinScottGA08,https://www.facebook.com/RepAustinScott
"Collins, Doug",Georgia 9th District,@RepDougCollins,https://www.facebook.com/RepresentativeDougCollins
"San Nicolas, Michael F.Q.",Guam At-Large,,https://www.facebook.com/CongressmanMichaelF.Q.SanNicolas
"Case, Ed",Hawaii 1st District,@RepEdCase,https://www.facebook.com/RepEdCase
"Gabbard, Tulsi",Hawaii 2nd District,@TulsiPress,https://www.facebook.com/RepTulsiGabbard
"Fulcher, Russ",Idaho 1st District,@RepRussFulcher,https://www.facebook.com/RepRussFulcher
"Simpson, Mike",Idaho 2nd District,@CongMikeSimpson,https://www.facebook.com/Mike-Simpson-96007744606
"Schneider, Bradley",Illinois 10th District,@RepSchneider,https://www.facebook.com/BradSchneider
"Foster, Bill",Illinois 11th District,@RepBillFoster,https://www.facebook.com/CongressmanBillFoster
"Bost, Mike",Illinois 12th District,@RepBost,https://www.facebook.com/RepBost
"Davis, Rodney",Illinois 13th District,@RodneyDavis,https://www.facebook.com/RepRodneyDavis?_rdr=p
"Underwood, Lauren",Illinois 14th District,@RepUnderwood,https://www.facebook.com/repunderwood/
"Shimkus, John",Illinois 15th District,@RepShimkus,https://www.facebook.com/repshimkus
"Kinzinger, Adam",Illinois 16th District,@RepKinzinger,https://www.facebook.com/RepKinzinger
"Bustos, Cheri",Illinois 17th District,@RepCheri,https://www.facebook.com/RepCheri
"LaHood,Darin",Illinois 18th District,@ElectLaHood,https://www.facebook.com/darinlahood
"Rush, Bobby L.",Illinois 1st District,@RepBobbyRush,https://www.facebook.com/congressmanbobbyrush
"Kelly, Robin",Illinois 2nd District,@RepRobinKelly,https://www.facebook.com/reprobinkelly
"Lipinski, Daniel",Illinois 3rd District,@RepLipinski,https://www.facebook.com/repdanlipinski
"Garcia, Jesus “Chuy”",Illinois 4th District,@RepChuyGarcia,https://www.facebook.com/RepChuyGarcia/
"Quigley, Mike",Illinois 5th District,@RepMikeQuigley,https://www.facebook.com/repmikequigley
"Casten, Sean",Illinois 6th District,@RepCasten,https://www.facebook.com/RepSeanCasten/
"Davis, Danny K.",Illinois 7th District,@RepDannyDavis,https://www.facebook.com/CongressmanDKDavis
"Krishnamoorthi, Raja",Illinois 8th District,@RajaForCongress,https://www.facebook.com/RajaForCongress
"Schakowsky, Jan",Illinois 9th District,@janschakowsky,https://www.facebook.com/janschakowsky
"Visclosky, Peter",Indiana 1st District,@RepVisclosky,https://www.facebook.com/repvisclosky
"Walorski, Jackie",Indiana 2nd District,@RepWalorski,https://www.facebook.com/RepJackieWalorski
"Banks, Jim",Indiana 3rd District,@Jim_Banks,https://www.facebook.com/JimBanksforCongress
"Baird, James",Indiana 4th District,@RepJimBaird,https://www.facebook.com/RepJimBaird
"Brooks, Susan W.",Indiana 5th District,@SusanWBrooks,https://www.facebook.com/CongresswomanSusanWBrooks
"Pence, Greg",Indiana 6th District,@RepGregPence,https://www.facebook.com/RepGregPence
"Carson, André",Indiana 7th District,@RepAndreCarson,https://www.facebook.com/CongressmanAndreCarson
"Bucshon, Larry",Indiana 8th District,@RepLarryBucshon,https://www.facebook.com/RepLarryBucshon
"Hollingsworth, Trey",Indiana 9th District,@VoteForTrey,https://www.facebook.com/VoteTrey
"Finkenauer, Abby",Iowa 1st District,@RepFinkenauer,https://www.facebook.com/RepAbbyFinkenauer
"Loebsack, David",Iowa 2nd District,@daveloebsack,https://www.facebook.com/DaveLoebsack
"Axne, Cynthia",Iowa 3rd District,@RepCindyAxne,https://www.facebook.com/RepCindyAxne
"King, Steve",Iowa 4th District,@SteveKingIA,https://www.facebook.com/SteveKingIA
"Marshall, Roger",Kansas 1st District,@RogerMarshallMD,https://www.facebook.com/DrRogerMarshall
"Watkins, Steve",Kansas 2nd District,@Rep_Watkins,https://www.facebook.com/CongressmanSteveWatkins
"Davids, Sharice",Kansas 3rd District,@RepDavids,https://www.facebook.com/RepDavids
"Estes, Ron",Kansas 4th District,@RepRonEstes,https://www.facebook.com/RepRonEstes
"Comer, James",Kentucky 1st District,@KYComer,https://www.facebook.com/CongressmanJamesComer
"Guthrie, S. Brett",Kentucky 2nd District,@RepGuthrie,https://www.facebook.com/CongressmanGuthrie
"Yarmuth, John A.",Kentucky 3rd District,@RepJohnYarmuth,https://www.facebook.com/Congressman-John-Yarmuth-KY-3-214258646163
"Massie, Thomas",Kentucky 4th District,@RepThomasMassie,https://www.facebook.com/RepThomasMassie
"Rogers, Harold",Kentucky 5th District,@RepHalRogers,https://www.facebook.com/CongressmanHalRogers
"Barr, Andy",Kentucky 6th District,@RepAndyBarr,https://www.facebook.com/RepAndyBarr
"Scalise, Steve",Louisiana 1st District,@SteveScalise,https://www.facebook.com/RepSteveScalise
"Richmond, Cedric",Louisiana 2nd District,@RepRichmond,https://www.facebook.com/RepRichmond
"Higgins, Clay",Louisiana 3rd District,@CaptClayHIggins,https://www.facebook.com/CaptClayHiggins
"Johnson, Mike",Louisiana 4th District,@RepMikeJohnson,https://www.facebook.com/MikeJohnsonLouisiana
"Abraham, Ralph",Louisiana 5th District,@RepAbraham,https://www.facebook.com/CongressmanRalphAbraham
"Graves, Garret",Louisiana 6th District,@RepGarretGraves,https://www.facebook.com/CongressmanGarretGraves
"Pingree, Chellie",Maine 1st District,@chelliepingree,https://www.facebook.com/ChelliePingree
"Golden, Jared",Maine 2nd District,@RepGolden,https://www.facebook.com/RepGolden
"Harris, Andy",Maryland 1st District,@RepAndyHarrisMD,https://www.facebook.com/AndyHarrisMD
"Ruppersberger, C. A. Dutch",Maryland 2nd District,@Call_Me_Dutch,https://www.facebook.com/DutchRupp
"Sarbanes, John P.",Maryland 3rd District,@RepSarbanes,https://www.facebook.com/RepSarbanes
"Brown, Anthony",Maryland 4th District,@BrownforMD,https://www.facebook.com/AnthonyBrown.Maryland
"Hoyer, Steny H.",Maryland 5th District,@WhipHoyer,https://www.facebook.com/WhipHoyer
"Trone, David",Maryland 6th District,@RepDavidTrone,https://www.facebook.com/repdavidtrone/
"Cummings, Elijah",Maryland 7th District,@RepCummings,https://www.facebook.com/elijahcummings
"Raskin, Jamie",Maryland 8th District,@Jamie_Raskin,https://www.facebook.com/Raskin.Jamie
"Neal, Richard E.",Massachusetts 1st District,@RepRichardNeal,https://www.facebook.com/Congressman-Richard-Neal-325642654132598
"McGovern, James",Massachusetts 2nd District,@RepMcGovern,https://www.facebook.com/RepJimMcGovern
"Trahan, Lori",Massachusetts 3rd District,@RepLoriTrahan,https://www.facebook.com/RepLoriTrahan/
"Kennedy III, Joseph P.",Massachusetts 4th District,@RepJoeKennedy,https://www.facebook.com/CongressmanJoeKennedyIII
"Clark, Katherine",Massachusetts 5th District,@RepKClark,https://www.facebook.com/CongresswomanClark?_rdr=p
"Moulton, Seth",Massachusetts 6th District,@teammoulton,https://www.facebook.com/CongressmanSethMoulton
"Pressley, Ayanna",Massachusetts 7th District,@RepPressley,https://www.facebook.com/RepAyannaPressley
"Lynch, Stephen F.",Massachusetts 8th District,@RepStephenLynch,https://www.facebook.com/repstephenlynch
